CORES,County,PCR
1,ALAMANCE,4
2,ALEXANDER,2
3,ALLEGHANY,2
4,ANSON,3
5,ASHE,2
6,AVERY,2
7,BEAUFORT,6
8,BERTIE,6
9,BLADEN,5
10,BRUNSWICK,5
11,BUNCOMBE,1
12,BURKE,2
13,CABARRUS,3
14,CALDWELL,2
15,CAMDEN,6
16,CARTERET,6
17,CASWELL,4
18,CATAWBA,2
19,CHATHAM,4
20,CHEROKEE,1
21,CHOWAN,6
22,CLAY,1
23,CLEVELAND,3
24,COLUMBUS,5
25,CRAVEN,6
26,CUMBERLAND,5
27,CURRITUCK,6
28,DARE,6
29,DAVIDSON,2
30,DAVIE,2
31,DUPLIN,6
32,DURHAM,4
33,EDGECOMBE,6
34,FORSYTH,2
35,FRANKLIN,4
36,GASTON,3
37,GATES,6
38,GRAHAM,1
39,GRANVILLE,4
40,GREENE,6
41,GUILFORD,2
42,HALIFAX,6
43,HARNETT,5
44,HAYWOOD,1
45,HENDERSON,1
46,HERTFORD,6
47,HOKE,5
48,HYDE,6
49,IREDELL,2
50,JACKSON,1
51,JOHNSTON,4
52,JONES,6
53,LEE,4
54,LENOIR,6
55,LINCOLN,3
56,McDOWELL,1
57,MACON,1
58,MADISON,1
59,MARTIN,6
60,MECKLENBURG,3
61,MITCHELL,1
62,MONTGOMERY,5
63,MOORE,5
64,NASH,6
65,NEW HANOVER,5
66,NORTHAMPTON,6
67,ONSLOW,6
68,ORANGE,4
69,PAMLICO,6
70,PASQUOTANK,6
71,PENDER,5
72,PERQUIMANS,6
73,PERSON,4
74,PITT,6
75,POLK,1
76,RANDOLPH,2
77,RICHMOND,5
78,ROBESON,5
79,ROCKINGHAM,2
80,ROWAN,2
81,RUTHERFORD,1
82,SAMPSON,5
83,SCOTLAND,5
84,STANLY,3
85,STOKES,2
86,SURRY,2
87,SWAIN,1
88,TRANSYLVANIA,1
89,TYRRELL,6
90,UNION,3
91,VANCE,4
92,WAKE,4
93,WARREN,4
94,WASHINGTON,6
95,WATAUGA,2
96,WAYNE,6
97,WILKES,2
98,WILSON,6
99,YADKIN,2
100,YANCEY,1